kanji	kanken	jlpt	wanikani	grade	frequency	kunyomi	onyomi	meanings
載	4	N1	WK24	G8	FQ825	の.せる,の.る	さい	Ride,Board,Get On,Place,Spread,10**44,Record,Publish
陣	4	N1	WK37	G8	FQ828		じん	Camp,Battle Array,Ranks,Position,Sudden,Brief Time
為	4	N1	WK35	G8	FQ831	ため,な.る,な.す,す.る,たり,つく.る,なり	い	Do,Change,Make,Benefit,Welfare,Be Of Use,Reach To,Try,Practice,Cost,Serve As,Good,Advantage,As A Result Of
遅	4	N3	WK35	G8	FQ833	おく.れる,おく.らす,おそ.い	ち	Slow,Late,Back,Later
秀	4	N1	WK23	G8	FQ848	ひい.でる	しゅう	Excel,Excellence,Beauty,Surpass
徴	4	N1	WK26	G8	FQ850	しるし	ちょう,ち	Indications,Sign,Omen,Symptom,Collect,Seek,Refer To,Question
弾	4	N1	WK37	G8	FQ853	ひ.く,-ひ.き,はず.む,たま,はじ.く,はじ.ける,ただ.す,はじ.きゆみ	だん,たん	Bullet,Twang,Flip,Snap
拠	4	N1	WK41	G8	FQ858	よ.る	きょ,こ	Foothold,Based On,Follow,Therefore
香	4	N2	WK37	G8	FQ859	か,かお.り,かお.る	こう,きょう	Incense,Smell,Perfume
更	4	N3	WK30	G8	FQ861	さら,さら.に,ふ.ける,ふ.かす	こう	Grow Late,Night Watch,Sit Up Late,Of Course,Renew,Renovate,Again,More And More,Further
致	4	N1	WK38	G8	FQ870	いた.す	ち	Doth,Do,Send,Forward,Cause,Exert,Incur,Engage
抱	4	N3	WK37	G8	FQ871	だ.く,いだ.く,かか.える	ほう	Embrace,Hug,Hold In Arms
繰	4	N1	WK38	G8	FQ872	く.る	そう	Winding,Reel,Spin,Turn (pages),Look Up,Refer To
尾	4	N1	WK20	G8	FQ875	お	び	Tail,End,Counter For Fish,Lower Slope Of Mountain
描	4	N1	WK38	G8	FQ876	えが.く,か.く	びょう	Sketch,Compose,Write,Draw,Paint
恐	4	N3	WK29	G8	FQ878	おそ.れる,おそ.る,おそ.ろしい,こわ.い,こわ.がる	きょう	Fear,Dread,Awe
盤	4	N1	WK38	G8	FQ881		ばん	Tray,Shallow Bowl,Platter,Tub,Board,Phonograph Record
項	4	N1	WK39	G8	FQ884	うなじ	こう	Paragraph,Nape Of Neck,Clause,Item,Term (expression)
巨	4	N2	WK28	G8	FQ892		きょ	Gigantic,Big,Large,Great
震	4	N2	WK20	G8	FQ893	ふる.う,ふる.える	しん	Quake,Shake,Tremble,Quiver,Shiver
越	4	N3	WK30	G8	FQ897	こ.す,-こ.す,-ご.し,こ.える,-ご.え	えつ,おつ	Surpass,Cross Over,Move To,Exceed,Vietnam
躍	4	N1	WK39	G8	FQ900	おど.る	やく	Leap,Dance,Skip
